frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
428,7.0,[286.2267857634322 486.71021838007846 500.92728806582784 669.0964802189449],[351.0892333984375 601.691162109375 423.882080078125 624.824462890625],0.6384555101394653,KH05ZZK,0.12688973181935126
429,7.0,[284.7896130185005 487.8405940469819 499.5028989854434 670.6797220740751],[350.5474853515625 602.64404296875 423.38568115234375 625.821044921875],0.6121264696121216,KH05ZZK,0.6992273870452592
430,7.0,[284.10105549640184 489.23974744777206 499.4615791062488 672.5158096125824],[349.19989013671875 605.2468872070312 422.12579345703125 629.4721069335938],0.6281936168670654,KR05EZT,0.0784371938958755
441,7.0,[275.3782853006601 502.3123926136236 497.2215461086938 687.6607132909119],[346.4381103515625 619.422119140625 415.5968017578125 641.0086669921875],0.5850749015808105,KH05ZZK,0.10753656883231741
462,7.0,[255.2597485542974 523.4172798900377 483.8196328998988 715.4603389381848],[331.84234619140625 645.0939331054688 405.01287841796875 669.5023803710938],0.6799514889717102,RH05ZZK,0.181758629701027
477,7.0,[244.2241573444197 539.5544475252585 478.92738507141974 716.6201998764578],[320.21429443359375 666.453125 397.17059326171875 692.8038330078125],0.5890970230102539,KH05IZK,0.10573470684624306
479,7.0,[242.77707118518623 541.1569080207895 480.9915855914714 716.3646263448871],[319.5456848144531 670.3663330078125 397.5203552246094 695.6932373046875],0.6024043560028076,WH05IZR,0.26703613502697693
538,413.0,[777.3283780097738 396.42920762195206 971.4600142800095 564.7513123339517],[853.38525390625 484.4710693359375 900.8330078125 515.0283203125],0.2653486430644989,ET61NAG,0.16852550035179034
558,413.0,[780.8289924395937 409.25880511204485 979.1666537910893 582.603644072608],[849.5577392578125 514.7736206054688 912.1207275390625 535.0416870117188],0.4595770239830017,EX61NBD,0.429946352268053
559,413.0,[780.8447936986208 409.65615509469484 980.0188908130874 582.8378644884706],[849.5631713867188 514.7692260742188 912.1148071289062 535.0387573242188],0.4604714810848236,EX61NBD,0.429946352268053
561,413.0,[780.9569040912139 410.891414879261 981.9567758323291 584.4061488912052],[851.968017578125 517.57568359375 913.069580078125 536.51123046875],0.4140584468841553,EY61QBD,0.2027282465744525
563,413.0,[781.0602297181101 411.9816092365311 983.8295407061541 586.3448067257824],[853.3446044921875 522.9386596679688 913.7237548828125 540.5404663085938],0.31732994318008423,EY61NSS,0.06105779776110633
578,413.0,[781.0975020409923 420.40821705665917 987.6947186173794 600.7671266913488],[855.7321166992188 530.2774047851562 916.0896606445312 551.0215454101562],0.5421409606933594,EY61NBG,0.5974853780704197
580,413.0,[782.1488958350351 422.7849492890125 988.0678903974544 602.6199741969076],[858.7537841796875 531.1383056640625 916.8243408203125 552.5513916015625],0.6392185091972351,EX61NBG,0.20582410496013157
587,413.0,[783.6021365344565 426.47401841418883 991.230517150328 607.8840696450409],[858.9942016601562 542.716552734375 919.0302124023438 561.512451171875],0.4329758882522583,VE76NBD,0.04814204948236615
593,413.0,[784.4096617415003 430.41692895669746 996.0548578132184 615.0503256792207],[860.0095825195312 545.23681640625 921.8818969726562 567.57958984375],0.6065799593925476,EY61NGG,0.2303726613834979
604,413.0,[787.6194203133668 441.22564851043404 997.9554538253547 626.9165082690946],[861.7322998046875 558.6635131835938 925.2518310546875 580.4340209960938],0.4827719032764435,EY61MBG,0.09471522750230824
608,413.0,[787.9978811830773 442.001628561943 1001.47951629138 631.9468732349593],[863.4344482421875 560.03857421875 928.2449951171875 582.5255126953125],0.6177110075950623,LY61NDG,0.0790038249212245
611,413.0,[787.5090716385096 444.39360961142575 1000.1489588864774 637.3722877676857],[867.0005493164062 560.68212890625 926.8510131835938 587.447021484375],0.36193007230758667,EY61NBG,0.27486285042339276
612,413.0,[787.8330778683568 445.1527786255864 999.7673432408438 638.9203777735923],[867.4111328125 561.08349609375 927.258056640625 589.005859375],0.3473973274230957,EY51NBG,0.4461429049548406
613,413.0,[788.1166801864732 445.24137445085034 999.5843213961597 639.7186476363086],[867.5682373046875 561.2340087890625 927.3524169921875 589.0364990234375],0.3501359224319458,EY51NBG,0.39638636501887864
627,413.0,[791.4437355187615 460.740699860943 1012.0783601108103 657.2964612467591],[870.496337890625 587.0654907226562 932.706298828125 605.4977416992188],0.40460240840911865,EX61HBC,0.2729173652743604
644,413.0,[794.9032745642753 475.61472855765567 1023.4535364000474 678.7596756094289],[875.5179443359375 603.5516357421875 944.2073974609375 624.8043212890625],0.6035349369049072,EY61NDG,0.2928367926863496
646,413.0,[796.4670007508125 476.86677674123445 1025.4251379412049 681.2001762931649],[874.8043212890625 606.81689453125 945.319091796875 628.688232421875],0.5537393093109131,EY61NBG,0.2817377249808858
652,413.0,[796.8549537499066 484.03104553025014 1024.5768252802663 690.621327365021],[877.6046142578125 600.4658203125 946.018798828125 634.6685791015625],0.36219075322151184,EY61NBC,0.4783123509085997
656,413.0,[797.0785362540234 487.9168259054222 1026.9025689145888 696.1832861191931],[878.9981689453125 616.6145629882812 949.5745849609375 639.5021362304688],0.6500706076622009,EX61MBG,0.12435618487202978
657,413.0,[797.7621657602699 489.49966410810566 1027.5454475985784 697.3465911604205],[878.400634765625 618.25927734375 950.174072265625 641.42724609375],0.6523730754852295,EY61NBG,0.29280592902756797
660,413.0,[799.7651816097678 493.0357333494025 1031.6653481091805 700.6241956680431],[882.0296630859375 623.3947143554688 949.9007568359375 645.6702270507812],0.651024341583252,EY61MBC,0.3790730208515776
661,413.0,[800.0533662476173 493.5858725588903 1032.5774556151457 701.0201685723757],[882.02978515625 623.4091186523438 949.8826904296875 645.7195434570312],0.655080258846283,EY61NBC,0.4339208447630879
